,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
5160,ST ALEXIUS MEDICAL CENTER,900 EAST BROADWAY AVENUE,BISMARCK,ND,58506-5510,BURLEIGH,U,"1,170.30","32,607",181,"66,246",6923,"41,397",225,"82,350","7,823",26406,142,51972,6923,2566924,7541637,5999804,7775026,143234800,169236784,16514638,225437909,273290171,257023772,530313943,15324092,0,143234800,7552177,0,0,-47117982,0,0,69932513,-40033097,9817028,1544727,4395169,7341061,0,28757237,89912941,154863914,216828741,10560795,10922757,0,2600640,0,53108971,77193163,0,68043949,32478502,359889,100882340,178075503,32647377,38753238,216828741,2152060,460273,273390161,306797736,580187897,240783753,296855156,-56071403,22609836,-33461567,0,-33461567,0.43,10689353,29321306
5161,MEDINA HOSPITAL,1000 E. WASHINGTON STREET,MEDINA,OH,44256-,MEDINA,U,640.7,"25,293",143,"52,195",6417,"25,293",143,"52,195","6,417",22743,131,47815,6417,2555998,4058211,4333704,9645050,42415704,75447159,9095132,103451716,158927507,253822402,412749909,10945939,0,42415704,112646,46269,0,784918,5114221,0,20859262,-6001604,2251471,74932,0,23298570,0,75535784,1222359,76758143,165143703,2808895,2653520,0,0,75678,4971511,10509604,0,0,0,1166846,1166846,11676450,153467253,153467253,165143703,12550846,0,158927507,255272018,414199525,124807368,117862863,6944505,11571782,18516287,0,18516287,0.25,5914134,40038139
5162,WYANDOT MEMORIAL HOSPITAL,885 N. SANDUSKY AVE.,UPPER SANDUSKY,OH,43351-,WYANDOT,R,303.56,"3,821",24,"8,784",670,"4,482",24,"8,784",670,2118,19,6954,670,91356,2380348,1661335,5160577,18634419,30503890,3057670,35776792,14173796,76075630,90249426,0,0,0,0,0,0,9820687,37635056,0,16201213,-10600905,1205823,526799,0,54788673,0,9858948,5315474,15174422,90926820,6646587,2174791,956057,0,0,12299804,22077239,0,0,0,21325581,21325581,43402820,47524000,47524000,90926820,0,0,16123266,89591814,105715080,48168414,49138309,-969895,4085354,3115459,0,3115459,0.4,2400055,14881394
5163,ADVANCED SPECIALTY HOSP. OF TOLEDO,1015 GARDEN LAKE PKWY,TOLEDO,OH,43614-,LUCAS,U,68.8,"7,884",40,"14,640",322,"7,884",40,"14,640",322,7884,40,14640,322,0,0,0,0,4528636,7963696,108109,12270227,34135985,10959,34146944,0,0,0,0,0,0,-2562,0,0,4140113,-206289,0,291619,0,4225234,0,0,6784,6784,4585092,259960,258945,0,0,0,112721,631626,0,0,0,56524,56524,688150,3896942,3896942,4585092,0,0,34146945,0,34146945,12404585,12492332,-87747,4559,-83188,0,-83188,,0,0
5164,CHILDRENS HOSPITAL MEDICAL CENTER,3333 BURNET AVENUE  MLC #4900,CINCINNATI,OH,45229-3039,HAMILTON,U,"13,924.95","152,834",615,"225,068",17408,"166,790",615,"225,068","17,408",112099,476,174164,17408,0,0,0,0,1205925157,1172438358,123522989,1196771136,1863724207,1191719788,3055443995,0,0,0,0,0,0,274854110,0,0,661502835,-109511987,30021267,17180235,0,874046460,0,1028381926,3592653291,4621035217,6805886488,332098763,0,0,223283212,0,0,555381975,0,762145311,0,215942700,978088011,1533469986,1655768502,5272416502,6805886488,0,0,1957460408,1247543255,3205003663,2060167193,2383693467,-323526274,559559632,236033358,-4594144,240627502,,0,0
5165,ALLIANCEHEALTH DURANT,1800 W UNIVERSITY BLVD,DURANT,OK,74820,BRYAN,R,373.66,"19,055",140,"51,100",5606,"19,081",140,"51,100","5,606",15267,132,48180,5606,3815435,31919827,6266150,6266150,25151546,50781358,3450548,66957756,506058220,525228602,1031286822,4784531,0,25125195,718304,0,176992,-94045,0,0,61062480,-44341808,2863993,845628,80545,20416793,0,0,10302363,10302363,61585387,2849289,1717457,1352,400872,0,290860,-88303976,0,0,0,24365757,24365757,-63938219,125523606,125523606,61585387,1527270,639490,506058220,525228602,1031286822,96964294,75932904,21031390,511614,21543004,0,21543004,0.06,10048566,205578962
5166,WILLAMETTE VALLEY MEDICAL CENTER,2700 SE STRATUS AVENUE,MCMINNVILLE,OR,97128,YAMHILL,U,485.84,"10,747",50,"18,250",3223,"13,550",60,"21,900","3,328",8370,43,15695,3223,427387,2916457,1388867,2953899,46761259,59987589,2414508,74827456,121115084,263031167,384146251,7540535,0,46761259,0,5490,0,-369702,0,0,15776504,0,2255905,1353515,0,19973159,0,0,2566421,2566421,30540620,3037336,4551268,1051491,0,0,1776518,10416613,-18349381,241106,0,0,-18108275,-7691662,38232282,38232282,30540620,0,0,121111988,289227315,410339303,113775510,109515003,4260507,1782747,6043254,0,6043254,0.19,15477915,87581813
5167,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,OR,97420-2125,COOS,R,874.26,"25,833",134,"49,044",5484,"34,695",134,"49,044","5,484",21900,122,44652,5484,403677,4549340,2980573,13714759,74207078,115810914,3786106,170857969,210043211,278434834,488478045,18216768,0,74207078,3451555,0,0,14413497,0,0,56775369,-28888837,6227415,-1486514,0,50173960,0,126117102,7976609,134093711,262541187,24782856,11449055,0,0,0,3770322,40002233,31435545,0,0,0,31435545,71437778,191103409,191103409,262541187,4170033,326263,222619362,282990134,505609496,188732715,190017992,-1285277,8049234,6763957,0,6763957,0.35,19664111,86907898
5168,UPMC CARLISLE,361 ALEXANDER SPRING ROAD,CARLISLE,PA,17015,CUMBERLAND,U,458.18,"17,147",66,"24,156",4059,"20,161",80,"29,280","4,331",13654,56,20496,4059,1063178,8301676,2825956,6434907,32455054,81612316,6866391,99342382,202328415,484037063,686365478,8316607,0,32455054,924890,910,0,5042960,0,0,15573778,688367,789728,1867584,0,23962417,0,0,0,0,110457405,2296332,510363,0,0,0,13881190,16687885,0,0,0,663004,663004,17350889,93106516,93106516,110457405,8995908,0,201917823,484901415,686819238,124148127,113790586,10357541,-16781049,-6423508,0,-6423508,0.14,5197186,62148363
5169,UPMC LITITZ,1500 HIGHLAND DRIVE,LITITZ,PA,17543,LANCASTER,U,468.53,"10,972",41,"15,006",3345,"10,972",41,"15,006","3,345",6310,31,11346,3345,251821,6543366,1386599,5726249,33682008,68111223,5574135,81872638,175361569,309663110,485024679,6958864,0,33682008,395349,3308,370302,10988748,0,0,12291394,0,706562,960742,0,25057793,0,0,5090,5090,82927293,2502925,1459309,0,35398,0,8126332,12189866,0,12359,0,819782,832141,13022007,69905286,69905286,82927293,5486130,761265,175145266,311319914,486465180,95712321,101702923,-5990602,-26530143,-32520745,0,-32520745,0.17,4174080,53215419
5170,UPMC MAGEE-WOMENS HOSPITAL,300 HALKET ST,PITTSBURGH,PA,15213-3180,,U,"2,515.68","91,618",315,"114,794",17438,"96,800",335,"122,114","17,438",44820,220,80024,17438,4325072,14802009,7371235,7411525,153298246,738892955,21931497,603394596,949393151,3308791652,4258184803,37096117,0,153213645,9754426,20809,0,527339,429947,15932645,440932761,-314559110,11304645,120000,3330,170788754,0,73619531,24807145,98426676,476527636,4845936,0,0,208,46202,83770265,88662611,0,2054,0,0,2054,88664665,316547296,387862971,476527636,13736031,1161501,950337440,3304578929,4254916369,943692635,892191201,51501434,102063016,153564450,0,153564450,0.14,93549895,651614611
5171,LAREDO MEDICAL CENTER,1700 EAST SAUNDERS,LAREDO,TX,78041,WEBB,R,"1,136.70","74,046",294,"107,310",13264,"79,877",312,"113,880","13,264",54720,237,86505,13264,18033895,94786359,28387832,31228703,73683855,128761600,11841568,211684650,1206828671,1007989578,2214818249,11145080,0,73423611,8013172,0,0,-961187,0,0,156783112,-104792946,5539427,1743526,135301,58447233,0,0,10850156,10850156,176770461,10305172,7673707,650748,1055341,0,2861504,-383457640,0,1167055,0,0,1167055,-382290585,559061046,559061046,176770461,10040607,1315860,1206828334,1030938978,2237767312,295199977,202445455,92754522,806248,93560770,0,93560770,0.1,29442774,436112836
5172,CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 FRANK STREET,LUFKIN,TX,75902-,ANGELINA,R,704.03,"27,103",144,"52,704",5428,"30,779",159,"58,194","5,706",22090,120,43920,5428,14714382,21725430,18965999,19013459,47786088,106846950,5443616,152855516,380404868,473013082,853417950,15654924,0,48195367,560169,0,0,68708372,0,0,98593935,-84026986,2953523,2433291,50000,164984919,0,0,16717471,16717471,211586460,70056904,5184199,20969,1897355,56958,21994534,99210919,0,89245080,0,14254355,103499435,202710354,8876106,8876106,211586460,0,0,381925918,470138231,852064149,140071226,154633038,-14561812,8885268,-5676544,0,-5676544,0.18,14603190,75847918
5173,ST. LUKES THE WOODLANDS HOSPITAL,17200 ST LUKES WAY,THE WOODLANDS,TX,77384,MONTGOMERY,U,"1,083.20","49,067",220,"80,520",11223,"52,531",238,"87,108","11,622",36498,180,65880,11223,14269666,25979611,19682124,19682124,75100776,165332335,5135038,225049641,570212761,627092882,1197305643,19237746,0,75100776,1120127,0,0,1352035,0,0,39675613,-9358734,5371872,0,521495,37562281,0,0,33881590,33881590,272624592,-8175315,0,0,0,0,0,13775075,0,0,0,143387980,143387980,157163055,115461537,115461537,272624592,0,0,563917775,633328028,1197245803,239489066,240433111,-944045,5580201,4636156,0,4636156,0.19,11148336,86399617
5174,ASHLEY REGIONAL MEDICAL CENTER,151 WEST 200 NORTH,VERNAL,UT,84078,UINTAH,R,209.01,"3,457",39,"14,235",1191,"3,457",39,"14,235","1,191",2393,35,12775,1191,0,7373461,1687732,1687732,15021649,28318744,4397962,31476347,33595314,104405128,138000442,2669002,0,15021649,0,0,0,90165,0,0,8182562,0,1887924,492768,0,11073202,0,0,10101862,10101862,56417287,725370,1364741,200004,0,0,159159,2449274,-170377651,717934,0,0,-169659717,-167210443,223627730,223627730,56417287,0,0,33595437,109999469,143594906,58483247,48289925,10193322,619986,10813308,0,10813308,0.23,8197079,25495989
5175,RESTON HOSPITAL,1850 TOWN CENTER PARKWAY,RESTON,VA,20190-,FAIRFAX,U,874.24,"54,992",191,"69,769",13638,"60,259",209,"76,339","13,996",40172,151,55417,13638,8248497,9822075,10604258,12399205,74044800,189475478,16901903,226983945,846283886,644863290,1491147176,14971995,0,74036073,4869059,0,0,302624,5045980,0,75283651,-24729346,13533803,1900763,0,71543977,0,1293643,17096764,18390407,252183051,13284441,6216818,2620986,648144,0,31182689,53953078,0,319384,-441344639,6323628,-434701627,-380748549,632931600,632931600,252183051,0,0,850057249,641089926,1491147175,350046899,231650301,118396598,1242530,119639128,30795080,88844048,0.15,13711235,101820837
5176,ST CLARE HOSPITAL,11315 BRIDGEPORT WAY SW,LAKEWOOD,WA,98499-,PIERCE,U,566,"27,659",106,"38,796",4574,"27,659",106,"38,796","4,574",21956,75,27450,4574,2688191,8180380,5306336,16001079,47362916,102399111,8359647,142736578,370778132,491168931,861947063,12244521,0,55588651,2416053,0,0,-584710,0,0,113220288,-96292250,3833688,112929,0,22052247,0,0,14731648,14731648,76115801,-896797,5443812,0,0,0,19890275,24065477,0,0,0,0,0,24065477,52050324,52050324,76115801,0,0,370851530,491168929,862020459,133500910,149762027,-16261117,13715604,-2545513,0,-2545513,0.17,19956910,215020174
5177,HARRISON MEDICAL CENTER,2520 CHERRY AVENUE,BREMERTON,WA,98310,KITSAP,R,"1,586.09","65,066",298,"109,068",14283,"65,066",298,"109,068","14,283",57344,278,101748,14283,4955805,9232947,9546270,36786278,134294762,361274864,42972422,491266818,1102137688,1424286785,2526424473,46002202,0,151677672,15328484,0,139305,146148440,0,0,303956612,-228640205,11081707,556804,0,236446516,0,335325357,46438113,381763470,1114742765,40481275,17161749,0,7953602,0,113013162,178609788,93770704,0,0,11248818,105019522,283629310,831113455,831113455,1114742765,15945748,1902586,1102193582,1461276815,2563470397,575780689,480984684,94796005,31042478,125838483,0,125838483,0.19,37789262,351104187
5178,GREENBRIER VALLEY MEDICAL CENTER,1320 MAPLEWOOD AVENUE,RONCEVERTE,WV,24970,GREENBRIER,R,329.3,"12,353",91,"33,306",2891,"12,353",91,"33,306","2,891",8302,79,28914,2891,447724,4934094,1642774,6979565,19468424,42814269,2551316,53703536,66342740,188899954,255242694,4168940,0,19468424,1301907,0,233489,-4274,0,0,14353721,-6715214,1965711,845004,182618,10627566,0,0,4995240,4995240,37658654,1784382,1822988,174061,427388,0,10409351,-162870376,0,856126,0,0,856126,-162014250,199672904,199672904,37658654,2902201,819148,66342740,188899954,255242694,70796918,62282693,8514225,265219,8779444,0,8779444,0.21,6776237,57238411
5179,HONORHEALTH DEER VALLEY MED CENTER,19829 N 27TH AVENUE,PHOENIX,AZ,85027,MARICOPA,R,"1,474.09","56,406",204,"74,429",12316,"56,406",204,"74,429","12,316",47314,172,62749,12316,6423714,19922832,9787320,27604309,98927759,210238503,20914769,291038626,1179330395,1033641805,2212972200,22918934,0,99672572,163832,0,0,2630,0,0,49888399,0,9519401,0,2557019,61967449,0,0,3568724,3568724,248736968,14210975,0,0,0,0,-208702134,-194491159,0,0,0,0,0,-194491159,443228127,443228127,248736968,29786759,388008,1179330354,1037256564,2216586918,324266849,309166262,15100587,3125868,18226455,0,18226455,0.13,38300612,426701142
5180,ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,U,"1,429.29","87,288",371,"135,786",15666,"90,612",387,"141,642","15,915",67840,294,107604,15666,6201819,12388143,8880017,13532706,136585196,268215474,12644485,331849997,881413385,708442661,1589856046,24111854,0,129655067,19679691,58240,21264,-361753829,0,0,78963677,-17926079,0,230362568,0,-69616705,0,1872256,89063383,113337787,104340895,34488255,11077602,0,13903213,0,89246275,148715345,0,134485066,0,19643242,154128308,302843653,-198502758,-198502758,104340895,26878680,441443,886527450,827038031,1713565481,354166874,428245086,-74078212,47962642,-26115570,971752,-27087322,0.21,12494116,120899187
5181,MENA MEDICAL CENTER,311 NORTH MORROW,MENA,AR,71953,POLK,R,239.54,"4,329",41,"14,965",1132,"9,060",65,"23,725","1,471",2971,35,12775,1132,67728,2690390,947071,947071,15604308,14642602,1355495,22152741,21630975,49218620,70849595,2151210,4895,15604308,468505,0,0,1577428,0,0,13168869,-9352947,806879,429277,291858,8420675,0,0,1535571,1535571,17769860,943521,1458447,100897,663252,0,0,3169021,0,3307675,0,0,3307675,6476696,11293164,11293164,17769860,0,0,22672089,60937165,83609254,28406532,30046404,-1639872,1127367,-512505,200506,-713011,0.31,2157765,8036136
5182,CONWAY REGIONAL MEDICAL CENTER  INC,2302 COLLEGE AVENUE,CONWAY,AR,72034-,FAULKNER,U,"1,055.26","34,441",139,"50,735",8016,"50,503",150,"54,750","8,224",26258,122,44530,8016,246523,8068335,3022154,3566994,70764832,115122873,9260499,145896653,300027251,386351122,686378373,14395018,0,71127103,4475787,4650,0,15766850,2736192,0,19929507,0,3748282,925487,0,46125742,0,109419806,11943904,121363710,247766639,9753241,11766735,0,2476986,0,2556751,26733683,0,72387933,0,7118893,79506826,106240509,141526130,141526130,247766639,0,0,310964993,400288689,711253682,186026884,188216846,-2189962,16958220,14768258,0,14768258,0.21,7764898,61678633
5183,DREW MEMORIAL HOSPITAL INC,778 SCROGIN DRIVE,MONTICELLO,AR,71655-,DREW,R,257.68,"8,820",50,"18,300",2329,"27,884",50,"18,300","2,329",6606,45,16470,2329,98106,4083964,1485957,1485957,15437486,23256400,2370220,32638932,32241893,71076105,103317998,2112193,0,15503746,1233790,0,0,1494387,0,0,5304475,0,0,0,0,6798862,0,509204,0,2135152,54132252,2126007,1972653,0,0,0,1053852,5152512,0,24777697,0,0,24777697,29930209,24202043,24202043,54132252,0,0,32241892,71076105,103317997,35669175,38659396,-2990221,920152,-2070069,0,-2070069,0.32,5550668,14404021
5184,MAGNOLIA REGIONAL MEDICAL CENTER,807 N JACKSON,MAGNOLIA,AR,71753-,COLUMBIA,R,227.33,"3,116",30,"10,950",979,"12,170",30,"10,950",979,2327,24,8760,979,159446,1573431,858945,1504080,10230061,12398380,2900404,19994280,11020981,33997421,45018402,2003941,2406,10256136,540248,509,0,2446444,0,0,4361515,-1207725,224367,186523,0,6165590,0,546010,797068,1343078,33958220,608945,0,0,295337,273280,1167523,2345085,0,417330,0,119043,536373,2881458,31076762,31076762,33958220,367336,218406,11101442,35867407,46968849,19723072,22628441,-2905369,1674702,-1230667,1556121,-2786788,0.44,1328106,6327077
5185,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603-,JEFFERSON,R,"1,295.87","42,730",271,"99,186",8226,"53,268",316,"115,656","9,286",36674,237,86742,8226,1904456,9799718,6911428,8479560,84240948,134735696,11460109,160271710,389521394,339858426,729379820,13883860,0,84240948,6531787,0,0,34932906,5200847,429148,98554271,-66226762,4744506,5071179,0,95288368,0,127119921,0,127119921,297960729,10833381,11677520,326236,2200452,34377,41619126,66691092,0,0,0,39289694,39289694,105980786,191979943,191979943,297960729,10317320,1100220,389521394,339858426,729379820,170893317,218976644,-48083327,37503793,-10579534,-136908,-10442626,0.22,11334164,98201947
5186,ST VINCENT NORTH,2215 WILDWOOD,SHERWOOD,AR,72120,PULASKI,U,279.53,"14,682",68,"24,888",3378,"14,682",68,"24,888","3,378",9610,50,18300,3378,1903773,4322940,2711443,6259200,22960431,46575116,1084853,59773477,180325244,187623728,367948972,4561122,0,22960431,4098445,0,0,600,0,0,36504220,-29195511,2203041,110612,0,14376914,0,0,120917,311719,31405937,35172547,847364,727558,0,0,12910990,49658459,0,0,0,0,0,49658459,-18252522,-18252522,31405937,0,0,180325244,187623728,367948972,59357928,69535547,-10177619,4949516,-5228103,0,-5228103,0.16,1719284,36231902
5187,CHICOT MEMORIAL MEDICAL CENTER,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,71653,CHICOT,R,145.33,"3,195",25,"9,150",604,"13,155",25,"9,150",604,1636,25,9150,604,49776,1906261,875641,1148660,8061726,10159361,1149104,17015108,9294677,29025998,38320675,0,0,0,0,0,0,347339,0,0,6006937,-3093336,226776,148808,982641,4007296,0,626317,0,626317,9643588,290331,832712,40571,0,0,39348,1202962,0,615415,0,1130000,1745415,2948377,6695211,6695211,9643588,0,0,9366750,29535309,38902059,15165412,18221087,-3055675,1629118,-1426557,0,-1426557,0.44,1178163,3268288
5188,PROVIDENCE ST JOHNS HEALTH CENTER,2121 SANTA MONICA BLVD,SANTA MONICA,CA,90404,LOS ANGELES,R,"1,132.00","56,469",236,"86,140",12950,"56,557",236,"86,140","12,950",45681,201,73365,12950,2395439,4892549,5175090,31444070,132246737,222478898,15836350,362681587,886437770,439963919,1326401689,28471429,0,132246737,18253431,0,0,-6403439,0,0,52432359,-8251694,6596197,285687,0,115499219,0,213403140,3938612,217341752,627848381,20078977,13003950,0,1253671,1477722,7904347,76757783,0,0,0,144141370,144141370,220899153,406949228,406949228,627848381,14923601,0,885130489,440005821,1325136310,379886564,481838048,-101951484,52651836,-49299648,-607393,-48692255,0.27,12821279,91304027
5189,ORTHOCOLORADO HOSPITAL,11650 WEST 2ND PLACE,LAKEWOOD,CO,80228,JEFFERSON,U,135.7,"4,408",48,"17,568",2182,"4,408",48,"17,568","2,182",4408,48,17568,2182,5565,349054,231078,231078,14054217,49237350,3916537,60549861,247121730,129412449,376534179,4109651,0,13106894,793146,0,0,19295593,0,0,44636305,-31344675,1002579,37853,0,35476450,0,0,0,0,101514171,3248201,809720,0,-407763,0,77017207,80667365,0,0,0,0,0,80667365,20846806,20846806,101514171,8718750,0,244490580,134423597,378914177,97900270,63291567,34608703,2345905,36954608,-18573,36973181,0.16,1788785,10770717
5190,ESTES PARK MEDICAL CENTER,555 PROSPECT PARK DRIVE,ESTES PARK,CO,80517,LARIMER,R,305.15,"1,282",25,"9,125",341,"20,022",91,"33,215",341,880,25,9125,341,637574,223477,741595,822392,22863818,29825938,1874340,42620947,17724662,64884357,82609019,0,0,0,0,0,0,18297949,0,0,14793558,0,-7644970,1096406,680495,30512395,0,2014341,1372720,3387061,65970916,2872991,2614124,16339,0,3119724,84099,10111282,0,0,0,13485000,13485000,23596282,42374634,42374634,65970916,0,0,17725507,73470028,91195535,49253069,53605757,-4352688,4104651,-248037,0,-248037,0.52,4817688,12192711
5191,NORTHERN COLORADO ADVANCED CARE HOSP,4401A UNION STREET,JOHNSTON,CO,80534,LARIMER,U,41.67,"5,974",20,"7,320",254,"5,974",20,"7,320",254,5974,20,7320,254,0,0,0,0,3958600,4101091,271730,9413384,19677207,580,19677787,0,0,0,0,0,0,-200489,0,0,4884092,-1920172,79105,88435,-417789,2513182,0,0,124980227,124980227,124516352,294523,388048,15358,0,0,120242583,120940512,0,0,0,72819,72819,121013331,3503021,3503021,124516352,0,0,19677207,580,19677787,10096295,8059691,2036604,95022,2131626,0,2131626,,0,0
5192,PALOS COMMUNITY HOSPITAL,12251 S. 80TH AVENUE,ORLAND PARK,IL,60462,COOK,U,"1,945.86","79,016",377,"137,605",17119,"172,961",413,"150,745","18,329",71015,353,128845,17119,2910032,19583050,10167637,26045115,150305870,217471639,33823972,352736060,787488726,754514238,1542002964,33369282,0,150305870,84600,0,0,6335353,4471399,0,44533135,0,9949944,0,3930093,76034561,0,16636608,28712527,50597235,651312192,10103351,19210355,0,17970109,0,12219250,96862673,331172116,0,0,33007088,364179204,461041877,190270315,190270315,651312192,0,0,787488760,755222554,1542711314,356891585,367777509,-10885924,8819898,-2066026,0,-2066026,0.23,13493009,128394447
5193,FRANKLIN HOSPITAL,201 BAILEY LANE,BENTON,IL,62812,FRANKLIN,R,129.66,580,25,"9,150",113,"19,422",25,"9,150",113,306,25,9150,113,63424,1842733,981065,1627688,8838533,11624281,796480,18088648,2522771,35697332,38220103,0,0,0,0,0,0,4207910,3969172,0,1975635,0,327431,111790,116642,11710661,0,0,1639363,1639363,17955449,1605110,860379,0,732443,3969172,1075098,10634617,0,6249274,0,0,6249274,16883891,1071558,1071558,17955449,0,0,2628704,36291458,38920162,17845720,20163669,-2317949,2167526,-150423,299145,-449568,0.47,1763967,9107984
5194,SAINT JOSEPH LONDON,1001 SAINT JOSEPH LANE,LONDON,KY,40741-,LAUREL,R,562.15,"24,377",122,"44,652",5711,"45,924",122,"44,652","5,711",18551,106,38796,5711,1778943,8739044,5235457,5431088,38401892,102205926,7000732,123018111,193855677,394904789,588760466,10198496,201421,38401892,548711,0,0,9507709,0,0,49303155,-32893462,3246516,354406,167943,43457055,0,0,0,0,160323202,2547976,3400184,0,9828,0,11621853,33002196,0,0,0,95538458,95538458,128540654,31782548,31782548,160323202,0,0,197494403,392709723,590204126,151550013,140607818,10942195,16236023,27178218,0,27178218,0.21,34757663,172187652
5195,FLAGET MEMORIAL HOSPITAL,4305 NEW SHEPARDSVILLE RD,BARDSTOWN,KY,40004,NELSON,U,239.62,"7,192",40,"14,640",2114,"10,343",52,"19,032","2,114",5949,36,13176,2114,806060,5152556,2521288,4383837,17847668,50007089,2573478,58937160,73207732,198090163,271297895,4717203,0,17847668,152279,18981,0,112287494,0,0,24339398,-15490269,1772110,95310,0,123483563,0,0,1880275,1880275,156536846,1110837,1545992,0,0,0,18983051,24560818,0,0,0,983893,983893,25544711,130992135,130992135,156536846,1827476,0,68484776,212853116,281337892,73336003,67854757,5481246,8153063,13634309,0,13634309,0.22,8928279,53180879
5196,SAINT JOSEPH EAST,150 N. EAGLE CREEK DRIVE,LEXINGTON,KY,40509-,FAYETTE,U,669.23,"27,364",160,"58,560",6247,"27,377",160,"58,560","6,247",17592,148,54168,6247,2638030,10866810,6682615,6682615,47530357,141524842,6898071,176064821,195507333,453900092,649407425,11378302,0,47530357,944417,0,0,217534985,0,0,59542274,-34128481,3918161,397238,0,248160310,0,0,500,500,334845164,7334113,4194147,0,0,121480,3258787,11697816,0,0,0,66168786,66168786,77866602,256978562,256978562,334845164,0,0,201846942,451748924,653595866,200557405,189055199,11502206,13054002,24556208,0,24556208,0.27,37089974,139797278
5197,NORTH OAKS MEDICAL CENTER,15790 PAUL VEGA MD DRIVE,HAMMOND,LA,70404,TANGIPAHOA,U,"1,571.29","57,211",344,"125,904",11562,"57,211",344,"125,904","11,562",40713,270,98820,11562,68222,39959966,6315182,20078997,115187470,97112128,0,240514810,902926467,756417319,1659343786,22058263,0,119550762,4457600,309676,0,83768,0,0,28268549,0,6831258,11573780,142351753,189714339,0,0,8956,8956,189844779,7952783,9150834,0,0,0,0,17103617,0,0,0,9497807,9497807,26601424,163243355,163243355,189844779,0,0,954023344,845364463,1799387807,249668747,212299598,37369149,59342028,96711177,0,96711177,0.14,34838762,428179112
5198,IBERIA MEDICAL CENTER,2315 W MAIN STREET,NEW IBERIA,LA,70562-3338,,U,631.52,"16,785",113,"41,245",4564,"25,207",139,"50,735","4,942",14052,102,37230,4564,71393,11543280,2664568,2664568,37853635,60862782,3787956,70804159,170048612,232317516,402366128,7465639,8498,37853635,1956421,1175,0,17902773,0,0,276270868,-265649030,2827598,515559,2969664,41540952,0,13085567,-2814901,10270666,91354667,4374012,6331856,0,2081441,0,2195085,14982394,0,32717041,0,0,32717041,47699435,43655232,43655232,91354667,0,0,170997435,256692341,427689776,94212021,98716417,-4504396,8788908,4284512,2950000,1334512,0.18,10777444,115036802
5199,PAM SPECIALTY HOSPITAL OF SHREVEPORT,8001 YOUREE DRIVE,SHREVEPORT,LA,71115-2302,CADDO PARISH,U,158.26,"15,951",54,"18,198",658,"15,951",54,"18,198",658,15951,54,18198,658,0,0,0,0,9294716,14667032,45045,23442356,179525793,540523,180066316,0,0,0,0,0,0,-662183,0,0,3706810,-76837,424510,884316,1255017,5531633,0,0,2702654,2702654,8602094,5494587,515736,143017,0,0,71360,6224700,0,0,0,0,0,6224700,2377394,2377394,8602094,0,0,179571888,494428,180066316,24960772,23961748,999024,806530,1805554,585318,1220236,,0,0
